DE0,DE2,DE3,DE4,DE5,DE6,DE7,DE18,DE19,DE22,DE25,DE26,DE38,DE39,DE41,DE42,DE48,DE49,DE55,DE60,DE61,DE90,DE127,DE300,DE301,DE1004,DE2004,DE3004,DE4004,DE5004
,4121097910977794,280000,000000000947,000000000947,000000000947,0102040000,3174,144,901,52,04,p52004,12,70007469,PAYUPAISA477790,9798071659906,356," ",WEB,visa,f1b7e637692a7a9b12345d02d2e0ebe32791a4b012," ",3,,,,,,
,4532856714982687,280000,000000012075,000000012075,000000012075,0102050000,3267,524,901,52,04,n72485,12,70007469,PAYUPAISA477790,9794734143577,356," ",WEB,visa,65085900ee36b8392753cf5c6e35d7f7291fe66c12," ",3,,,,,,
,6011006438921695,280000,000000008341,000000008341,000000008341,0102060000,3267,586,901,52,04,b45704,12,70015020,GROFERS11797900,9796021231059,356," ",WEB,rupay,6e49baf0c9d506788d441426d29bf1031e56b87112," ",2,,,,,,
,4539139424130035,280000,000000013340,000000013340,000000013340,0102070000,3197,586,901,52,04,x08476,12,70015020,GROFERS11797900,9784624961442,586," ",WEB,visa,506ef48efd939ea39b776a1fb5dcd1fc618a57a812," ",2,,000000038792,,,,
,4929146601983852,280000,000000013801,000000013801,000000013801,0103000000,3096,586,901,59,04,m78122,12,70015020,GROFERS11797900,9799388896930,586," ",WEB,visa,641ec18a1eda186af7288f74b07600b8f226997f12," ",2,,,,,,
,6011830320992807,280000,000000007319,000000007319,000000007319,0103000000,3243,356,901,52,04,f37697,12,70011803,CLEARTRIP689430,9796532322772,144," ",WEB,rupay,1f0e13723e06ced85f7a9ea4139e4a64c6d983b412," ",1,,000000019679,,,,
,4539119833995715,280000,000000013768,000000013768,000000013768,0103020000,3193,356,901,52,04,f14060,12,70015020,GROFERS11797900,9781194178737,356," ",WEB,visa,ed8843ec13077dc65dfd08266060495412f0462f12," ",2,,,,,,
,2396478346989565,280000,000000022691,000000022691,000000022691,0103020000,3090,524,901,59,04,g43320,12,70015020,GROFERS11797900,9789872413187,586," ",WEB,mastercard,6450a9fbe97af883c8f0e2d5dd124c71a6b4cf0912," ",2,,,,,,
,2557287988464091,280000,000000019579,000000019579,000000019579,0104030000,3755,586,901,59,04,w56523,12,70011803,CLEARTRIP689430,9788156780564,524," ",WEB,mastercard,92d0a8a0aba2b0946d0c6d91388096b5c88a434112," ",1,,,,,,
,4532246605326378,280000,000000012960,000000012960,000000012960,0104060000,3003,356,901,52,04,v34933,12,70011803,CLEARTRIP689430,9798375685786,144," ",WEB,visa,b0885a05d32e2c91d8384718dcfc8d8dd895c20312," ",1,,,,,,
,6011784160071380,280000,000000009629,000000009629,000000009629,0104080000,3156,144,901,52,04,h08155,12,70015020,GROFERS11797900,9783330155817,356," ",WEB,rupay,0c2f6c1b1daac10b58bf01066705c01c628d8b0612," ",2,,000000023699,,,,
,4716095939959174,280000,000000017077,000000017077,000000017077,0104090000,3351,524,901,59,04,m16530,12,70015020,GROFERS11797900,9798664058666,356," ",WEB,visa,13137061309ab09d6488e0e4a90cd06deefdc14b12," ",2,,,,,,
,4539800466191116,280000,000000012316,000000012316,000000012316,0104130000,3393,586,901,59,04,t98237,12,70011803,CLEARTRIP689430,9799623944990,356," ",WEB,visa,71597d5b1faaa5c90edb91090208681d59e830de12," ",1,,,,,,
,2221978181228491,280000,000000084356,000000084356,000000084356,0104170000,7542,586,901,59,04,p67594,12,70015020,GROFERS11797900,9793268698997,586," ",WEB,mastercard,078848749899104e6b229c24a40870511aa1ef4f12," ",2,,,,,,
,6011189283961501,280000,000000009822,000000009822,000000009822,0104200000,3266,144,901,59,04,l11561,12,70007469,PAYUPAISA477790,9792347096846,144," ",WEB,rupay,8c768d9bc4d4ce2dc77ba235dfbeee97e714261c12," ",3,,,,,,
,4716678214231755,280000,000000024044,000000024044,000000024044,0104220000,3226,524,901,52,04,e44149,12,70015020,GROFERS11797900,9788164442089,144," ",WEB,visa,7b48f0795d1d9578eafb39e7f78997733b0903f512," ",2,,000000012349,,,,
,5349216399619304,280000,000000071275,000000071275,000000071275,0101010000,3103,144,901,52,04,v80269,12,70007469,PAYUPAISA477790,9798276912455,356," ",WEB,mastercard,9ac0e83f88eeba2ae00939683c416e054d8566da12," ",3,,000000080126,,,,
,5540024406642211,280000,000000073556,000000073556,000000073556,0101030000,3125,356,901,52,04,f77475,12,70015020,GROFERS11797900,9799949009007,356," ",WEB,mastercard,52de7c83dbda075157adc758bf4cb6c80ca392f312," ",2,,,,,,
,4024007131668708,280000,000000013867,000000013867,000000013867,0101030000,5533,356,901,59,04,x58149,12,70015020,GROFERS11797900,9790226192955,356," ",WEB,visa,0ace832f86b903a0c4af94dbe9d8f425f1fb692812," ",2,,000000013194,,,,
,2344933269809144,280000,000000002408,000000002408,000000002408,0101060000,3003,586,901,59,04,x16038,12,70007469,PAYUPAISA477790,9790536423794,356," ",WEB,mastercard,e6796413eb748ef075f4f3916168fd308fca6d7e12," ",3,,000000024226,000000097697,,,
,4716944788006340,280000,000000012735,000000012735,000000012735,0101090000,3821,586,901,59,04,k19118,12,70007469,PAYUPAISA477790,9780735861459,524," ",WEB,visa,19e5126820b5b2c472455400d9324ab52151a17512," ",3,,,,,,
,2720386609281249,280000,000000018514,000000018514,000000018514,0101090000,3231,144,901,52,04,v93319,12,70007469,PAYUPAISA477790,9787179677301,356," ",WEB,mastercard,9342106dba963c0fa8183b336f12b55fcd7fa66512," ",3,,,,,,
,2568144138306812,280000,000000091718,000000091718,000000091718,0101120000,3125,586,901,59,04,a45476,12,70011803,CLEARTRIP689430,9795652396021,356," ",WEB,mastercard,25479bfa6cc6fb71bed831d661e543be4f9a4a5112," ",1,,,,,,
,5301323519105945,280000,000000082567,000000082567,000000082567,0101160000,3266,524,901,52,04,n98277,12,70007469,PAYUPAISA477790,9782182417975,356," ",WEB,mastercard,87a5769ea4cd10119f217fb54a36b7593314b0f512," ",3,,,,,,
,4539866589853064,280000,000000013927,000000013927,000000013927,0101190000,3817,356,901,52,04,i58224,12,70011803,CLEARTRIP689430,9790970807853,356," ",WEB,visa,a2127876470a728a10aaa6d060dbd98bbe8dcfda12," ",1,,,,,,
,5331235391528800,280000,000000064799,000000064799,000000064799,0101220000,4011,356,901,52,04,c43049,12,70007469,PAYUPAISA477790,9797674281286,356," ",WEB,mastercard,c480baf80efb5def9b91ba82ad6b10a14f548c6a12," ",3,,000000027745,,,,
,4916143899922143,280000,000000012823,000000012823,000000012823,0102010000,3287,524,901,52,04,k27515,12,70015020,GROFERS11797900,9785011364518,144," ",WEB,visa,cce72c2cae46b6816dc12809179d053306e8b3f812," ",2,,,,,,
,4929526968847289,280000,000000012784,000000012784,000000012784,0102020000,3075,144,901,59,04,t79474,12,70011803,CLEARTRIP689430,9797532056339,356," ",WEB,visa,9ca70392d5285f3741a289d38c1dd66d870545f812," ",1,,,,,,
,2720386609281249,280000,000000021828,000000021828,000000021828,0102060000,7531,356,901,59,04,k06637,12,70007469,PAYUPAISA477790,9790705622607,144," ",WEB,mastercard,ce1335b3e409c6b245aa43994689a06edd6f361212," ",3,,,,,,
,4532635939117398,280000,000000001837,000000001837,000000001837,0102070000,7511,356,901,59,04,l14153,12,70015020,GROFERS11797900,9782025749058,524," ",WEB,visa,e36517de0d3d580d2a5c8ea34a27c1060300468612," ",2,,,,,,
,5108411630631207,280000,000000011080,000000011080,000000011080,0102090000,7534,356,901,52,04,y36929,12,70007469,PAYUPAISA477790,9782108047279,356," ",WEB,mastercard,3e750b6ed8737cec109cc73e7fcb0692ffb4332e12," ",3,,,,,,
,4929700957056703,280000,000000013831,000000013831,000000013831,0102120000,7519,144,901,52,04,h15917,12,70011803,CLEARTRIP689430,9794748305015,586," ",WEB,visa,9a41a1374051410959d7daee6d3499b36cf830c412," ",1,,,,,,
,4024007131668708,280000,000000012408,000000012408,000000012408,0102130000,3226,356,901,52,04,b63753,12,70011803,CLEARTRIP689430,9798876709509,586," ",WEB,visa,94339e6bdae75ebe5e9428dd746d448aedd18a2512," ",1,,000000013194,,,,
,2513312283173461,280000,000000026888,000000026888,000000026888,0102140000,3172,356,901,52,04,x77910,12,70007469,PAYUPAISA477790,9785889252856,586," ",WEB,mastercard,237f5185d6b367e0c52d12ab57b89804d6b7f4e612," ",3,,,,,,
,4024007115633843,280000,000000014507,000000014507,000000014507,0102150000,3245,144,901,52,04,k61171,12,70015020,GROFERS11797900,9790753889199,586," ",WEB,visa,d2e47b32d020663ee238160f8e3637d3940e5a0212," ",2,,,,,,
,4485100850384532,280000,000000016117,000000016117,000000016117,0102180000,3132,586,901,59,04,d72776,12,70007469,PAYUPAISA477790,9794170664575,144," ",WEB,visa,3e0711995154da8397553bd677df36b0745c2fe812," ",3,,,,,,
,4024007133584192,000000,000000012619,000000012619,000000012619,0102210000,3425,524,901,59,04,z63056,12,70007469,PAYUPAISA477790,9787793788094,586," ",WEB,visa,1a1d81db425edef7cccc0cd480e287f9cfaaa60712," ",3,,,,,,
,6011368726243194,000000,000000018096,000000018096,000000018096,0103040000,3266,586,901,59,04,w48185,12,70007469,PAYUPAISA477790,9784436735835,524," ",WEB,rupay,1d26ae5cb78bd9f05a06b21316b2c9696291ec3a12," ",3,,,,,,
,2720102927475748,000000,000000021733,000000021733,000000021733,0103070000,4121,586,901,52,04,r83393,12,70011803,CLEARTRIP689430,9799006922706,144," ",WEB,mastercard,bc664432986bddff02e621edfb9a3c247f470ae812," ",1,,,,,,
,4485869129831602,000000,000000000105,000000000105,000000000105,0103100000,7542,586,901,52,04,i82150,12,70015020,GROFERS11797900,9790403547714,356," ",WEB,visa,fcbe8e508185ad757f84f737e4f454e54cbe1d8612," ",2,,,,,,
,4121097910977794,000000,000000006151,000000006151,000000006151,0103110000,7033,356,901,59,04,i15473,12,70015020,GROFERS11797900,9789648704600,144," ",WEB,visa,65988a05778845421c1db64062afa7ee6478984112," ",2,,000000000947,,,,
,4024007118253748,000000,000000012893,000000012893,000000012893,0103150000,3167,356,901,52,04,a95459,12,70011803,CLEARTRIP689430,9793757442315,356," ",WEB,visa,69b286e4a7a6606c1e9d602380ce69d306c2e2cf12," ",1,,000000013178,,,,
,4929146601983852,000000,000000016562,000000016562,000000016562,0103150000,3226,524,901,59,04,l77515,12,70015020,GROFERS11797900,9790550578272,356," ",WEB,visa,9e7a0b97be2d9b0986e826d0d0e1c702afa0930e12," ",2,,000000013801,,,,
,5108411630631207,000000,000000084861,000000084861,000000084861,0103160000,3267,144,901,52,04,m05252,12,70011803,CLEARTRIP689430,9799162530012,356," ",WEB,mastercard,addb21877e7275b0b1b09e2ac212b439fbd1095712," ",1,,000000011080,,,,
,2686363325817582,000000,000000019053,000000019053,000000019053,0103180000,7531,356,901,52,04,s22369,12,70011803,CLEARTRIP689430,9790146983060,144," ",WEB,mastercard,896daaf37f87ac6865b87bcc35a22f189f6324d412," ",1,,,,,,
,4929700957056703,000000,000000013425,000000013425,000000013425,0103220000,3204,144,901,59,04,e48649,12,70015020,GROFERS11797900,9789543072170,356," ",WEB,visa,352f7a9b2172ffae8f5e4c1ba1d854c1036ce30b12," ",2,,000000013831,,,,
,4024007131668708,000000,000000012319,000000012319,000000012319,0104000000,5533,524,901,59,04,w50998,12,70011803,CLEARTRIP689430,9798757877983,356," ",WEB,visa,0f95dc9b811b42970925bb4cf620084dcb1f6c9812," ",1,,000000012408,000000013867,000000013194,,
,6011804551044356,000000,000000000463,000000000463,000000000463,0104020000,4214,356,901,52,04,x63416,12,70015020,GROFERS11797900,9780103679983,586," ",WEB,rupay,880b6a514b35686a7273699d4c52ae94f6c0f3c112," ",2,,,,,,
,4024007133584192,000000,000000011198,000000011198,000000011198,0104050000,4411,356,901,59,04,c13598,12,70007469,PAYUPAISA477790,9795842108595,144," ",WEB,visa,4892640816eaa12151c00078a75ddebfde85c91412," ",3,,,,,,
,2720102927475748,000000,000000094123,000000094123,000000094123,0104070000,3125,356,901,52,04,k14053,12,70007469,PAYUPAISA477790,9795266113335,144," ",WEB,mastercard,00cea7f7d2e7820c78b2735ec5401062ca1ac2d112," ",3,,,,,,
,2720102927475748,000000,000000092859,000000092859,000000092859,0104090000,3245,586,901,59,04,k49018,12,70015020,GROFERS11797900,9790427208257,586," ",WEB,mastercard,c836e47bee680d3114d1befadf6535146cea8cd912," ",2,,,,,,
,6011442888768858,000000,000000021606,000000021606,000000021606,0104130000,4722,144,901,52,04,n38970,12,70007469,PAYUPAISA477790,9789351893929,586," ",WEB,rupay,61e6e49a13a4b957ee812af18a75c0775588807212," ",3,,,,,,
,4024007115633843,000000,000000012750,000000012750,000000012750,0104160000,3266,356,901,52,04,l84703,12,70007469,PAYUPAISA477790,9797623028139,586," ",WEB,visa,34537d1a52b4fbfb83298893f355bfbbc0b98f3812," ",3,,000000014507,,,,
,4567278727388778,000000,000000012000,000000012000,000000012000,0104170000,3033,524,901,52,04,h86899,12,70015020,GROFERS11797900,9785161602546,586," ",WEB,visa,127e70d6c534ccaf0c21c06219fb2a9977db3e6612," ",2,,,,,,
,4153478340676373,000000,000000012103,000000012103,000000012103,0104170000,3135,356,901,52,04,x79541,12,70015020,GROFERS11797900,9792785289824,144," ",WEB,visa,375f56115d45468f117b30574867941e09862bed12," ",2,,,,,,
,2396478346989565,000000,000000094530,000000094530,000000094530,0104190000,3821,356,901,59,04,i23649,12,70007469,PAYUPAISA477790,9787519769901,586," ",WEB,mastercard,c899e61d70847021e717f381b95025ec3ac31c7212," ",3,,000000022691,,,,
,6011006438921695,000000,000000024764,000000024764,000000024764,0105030000,5599,586,901,59,04,i43740,12,70007469,PAYUPAISA477790,9783776664959,356," ",WEB,rupay,5098083f7443ea9abc14320d5938324a357a638512," ",3,,000000008341,,,,
,6011006438921695,000000,000000025552,000000025552,000000025552,0105050000,3058,356,901,52,04,u49029,12,70007469,PAYUPAISA477790,9796246879272,356," ",WEB,rupay,9e3b71c8f8e42fb46b93de63eef86283e85758de12," ",3,,000000008341,,,,
,4929581908594889,000000,000000012748,000000012748,000000012748,0105090000,3243,356,901,52,04,w70418,12,70015020,GROFERS11797900,9781407050676,356," ",WEB,visa,cff1fa6d2362de5fac2fc2479da7c4ff2f21240812," ",2,,,,,,
,4532117962146990,000000,000000013300,000000013300,000000013300,0105130000,3200,524,901,59,04,j68101,12,70011803,CLEARTRIP689430,9780617635239,356," ",WEB,visa,02a543e93d9390aefc706f5045ddbeb3e554c08512," ",1,,,,,,
,5129482911245962,000000,000000021362,000000021362,000000021362,0105140000,5533,356,901,59,04,o06092,12,70007469,PAYUPAISA477790,9789764084549,356," ",WEB,mastercard,9a92701750924bac36d0a404e3c035b14d4dfd7612," ",3,,000000080006,,,,
,5108411630631207,000000,000000020679,000000020679,000000020679,0105150000,3757,144,901,52,04,d34978,12,70007469,PAYUPAISA477790,9791820077150,586," ",WEB,mastercard,528721ebc0b4a3f33bc72b7151ac857b59a3d07012," ",3,,000000011080,,,,
,6011935370451008,000000,000000021795,000000021795,000000021795,0105160000,3425,144,901,52,04,p37276,12,70007469,PAYUPAISA477790,9784255355597,356," ",WEB,rupay,4d77e62f680fcf67f0324674a39082727a4b3df212," ",3,,,,,,
,6011427686886473,000000,000000015489,000000015489,000000015489,0105170000,3299,356,901,52,04,w82719,12,70011803,CLEARTRIP689430,9792530166684,586," ",WEB,rupay,2245f05c7ce1b29f02d84524f2aa20f5e78867d512," ",1,,,,,,
,5352746410810627,000000,000000025232,000000025232,000000025232,0105170000,3359,356,901,59,04,m36379,12,70007469,PAYUPAISA477790,9792785472974,144," ",WEB,mastercard,937418cf526472d95f3940ecb1cd7885fcdc782712," ",3,,,,,,
,6011656648431776,000000,000000002984,000000002984,000000002984,0105180000,3439,144,901,59,04,b37811,12,70011803,CLEARTRIP689430,9786105238425,144," ",WEB,rupay,209941d5e523ad3b96457018ad2a9aacdd10261412," ",1,,000000026233,,,,
,4121097910977794,000000,000000012270,000000012270,000000012270,0105200000,8675,524,901,52,04,h07884,12,70007469,PAYUPAISA477790,9783815018637,524," ",WEB,visa,81284206b8f37e4607b163deaa5e4d8f8272dbd312," ",3,,000000000947,,,,
,5310181003564145,000000,000000098088,000000098088,000000098088,0105230000,3223,144,901,59,04,b40997,12,70007469,PAYUPAISA477790,9786134119566,356," ",WEB,mastercard,d3f9e4ffd4591db3ef6c0472743277ea16613fbb12," ",3,,,,,,
,6011804551044356,000000,000000012580,000000012580,000000012580,0106020000,3441,356,901,59,04,d21431,12,70011803,CLEARTRIP689430,9788800576901,586," ",WEB,rupay,63776967f643e67eeb1e6485f0b831a0b1c05b7212," ",1,,,,,,
,4532856714982687,000000,000000013551,000000013551,000000013551,0107000000,3282,586,901,52,04,p31686,12,70015020,GROFERS11797900,9791827961476,144," ",WEB,visa,6bfdbc4022680d5ff0920ea71a4b7156216d657d12," ",2,,000000012075,,,,
,2673016221861246,000000,000000086250,000000086250,000000086250,0107010000,3253,586,901,52,04,p55511,12,70011803,CLEARTRIP689430,9799823121887,144," ",WEB,mastercard,284d084e4c562de2aecfead9bf9157167d57354012," ",1,,,,,,
,5429333376678279,000000,000000009620,000000009620,000000009620,0107040000,3177,144,901,59,04,h00076,12,70007469,PAYUPAISA477790,9797874701348,356," ",WEB,mastercard,445984184e07135b042d19e457d33e4c4aa03a3912," ",3,,000000078473,,,,
,4916112577088287,000000,000000012145,000000012145,000000012145,0107050000,3159,144,901,59,04,a64652,12,70015020,GROFERS11797900,9793368463129,586," ",WEB,visa,740ee9bbed2600dfe9b4775b19af4dff2bfce7b212," ",2,,,,,,
,4542655357372042,000000,000000012393,000000012393,000000012393,0107090000,3100,144,901,52,04,s57249,12,70015020,GROFERS11797900,9793566472176,144," ",WEB,visa,f2a3cb7d7a15ceb4c3cbf357659c3ccc0f87460012," ",2,,,,,,
,2344933269809144,000000,000000059440,000000059440,000000059440,0107090000,3229,356,901,59,04,z10376,12,70007469,PAYUPAISA477790,9788996533931,356," ",WEB,mastercard,7e64f82e1ae03696aa2fbedf7a1ab5e18665efe712," ",3,,000000002408,000000024226,000000097697,,
,5301323519105945,000000,000000095498,000000095498,000000095498,0107100000,4784,144,901,52,04,s99917,12,70015020,GROFERS11797900,9783318782226,356," ",WEB,mastercard,f0e22a7ee5595f6c27b8ab87de6e0b2a71e7043a12," ",2,,000000082567,,,,
,5508656364933866,000000,000000021180,000000021180,000000021180,0107100000,5599,356,901,52,04,s62271,12,70011803,CLEARTRIP689430,9781480849952,144," ",WEB,mastercard,a7307cff229a62763883032eb6de47e4c3657a3412," ",1,,,,,,
,4539874789911310,000000,000000012064,000000012064,000000012064,0107100000,4468,356,901,52,04,d77468,12,70015020,GROFERS11797900,9786033446893,586," ",WEB,visa,01532e2df82fdcc73acfee300ae1c22b18512da812," ",2,,,,,,
,4929581908594889,000000,000000013595,000000013595,000000013595,0107110000,3405,524,901,52,04,e52543,12,70015020,GROFERS11797900,9783947496297,144," ",WEB,visa,0a9b9353bfcb8ccb14190e141b86152dd567fa5512," ",2,,,,,,
,2415235660628550,000000,000000060600,000000060600,000000060600,0107150000,5531,524,901,59,04,w45536,12,70015020,GROFERS11797900,9786471655253,356," ",WEB,mastercard,f738b33498e340dacf172ee4d70e19ec3b558e9712," ",2,,000000023367,,,,
,6011829226382360,000000,000000018805,000000018805,000000018805,0107150000,3079,356,901,59,04,p31243,12,70011803,CLEARTRIP689430,9784926881899,586," ",WEB,rupay,d5989b002b21cef6c69741c271f90d27a80d82c512," ",1,,000000014397,,,,
,5448808686841193,000000,000000027908,000000027908,000000027908,0107150000,3234,356,901,52,04,g52834,12,70007469,PAYUPAISA477790,9785125078301,356," ",WEB,mastercard,a64d027f7ec69c5621ee91c0ec18d4000fb2996d12," ",3,,,,,,
,4024007118253748,000000,000000012293,000000012293,000000012293,0108010000,3151,356,901,52,04,y33653,12,70011803,CLEARTRIP689430,9791358918383,524," ",WEB,visa,63d6865e3a5c1d7e97527e142d79b16a3f8b0f2712," ",1,,000000013178,,,,
,2221978181228491,000000,000000073757,000000073757,000000073757,0109020000,4582,356,901,59,04,j93071,12,70007469,PAYUPAISA477790,9784782667101,356," ",WEB,mastercard,910a8349a20da832d99770fd65302d2d0671cc4812," ",3,,000000084356,,,,
,4485175065737146,000000,000000018738,000000018738,000000018738,0109030000,3000,144,901,52,04,x86726,12,70007469,PAYUPAISA477790,9780523843841,524," ",WEB,visa,e509a130fff7a91423ad90477fea3cdd95ea3c3c12," ",3,,000000013720,,,,
,6011935370451008,000000,000000007015,000000007015,000000007015,0109040000,3757,144,901,52,04,e53749,12,70007469,PAYUPAISA477790,9790093542853,586," ",WEB,rupay,3fc51c0c5d802298603324bafdd433f9d45730ba12," ",3,,,,,,
,6011189283961501,000000,000000013896,000000013896,000000013896,0109060000,3362,144,901,59,04,y13122,12,70015020,GROFERS11797900,9797043102464,144," ",WEB,rupay,ae44f2ad6d2701a0b52632089a3ab205f7de4e4b12," ",2,,000000009822,,,,
,6011920728597199,000000,000000012270,000000012270,000000012270,0109070000,3427,586,901,52,04,r89117,12,70011803,CLEARTRIP689430,9789048333264,356," ",WEB,rupay,b0a8da7c542fffe1da4aacc0ddc9a032172187be12," ",1,,,,,,
,2608252458008801,000000,000000057423,000000057423,000000057423,0109110000,3359,356,901,52,04,x34066,12,70015020,GROFERS11797900,9787100324441,356," ",WEB,mastercard,db1003be503c4775049a2b7ee8682c90ff638b9512," ",2,,000000097912,,,,
,2608252458008801,000000,000000081095,000000081095,000000081095,0109110000,3438,524,901,52,04,o85021,12,70011803,CLEARTRIP689430,9795098980150,144," ",WEB,mastercard,92b62a26620433316983a76a40f766786ad03f8012," ",1,,000000097912,,,,
,4539139424130035,000000,000000013259,000000013259,000000013259,0109130000,4411,524,901,52,04,d56105,12,70007469,PAYUPAISA477790,9797970261708,586," ",WEB,visa,a7c936810a50ff004ba437d064f4ec6b8b1adb5612," ",3,,000000013340,000000038792,,,
